,Pixie,Igor Karkaroff,Waitress,Dobby,Ghosts,Leanne,Cormac Mclaggen,Xenophilius Lovegood,Basilisk,Petunia Dursley,Mundungus Fletcher,Ginny Weasley,Bartemius Crouch,Arthur Weasley,Albus Potter,Gregory Goyle,Gryffindors,Susan Bones,Marge Dursley,Corban Yaxley,Class,Boy 2,Neville Longbottom,Ghost,Angelina Johnson,Lee Jordan,Horace Slughorn,Filius Flitwick,Sybill Trelawney,Bogrod,Charity Burbage,Eldred Worple,Man In A Painting,Pius Thicknesse,Merpeople,Marcus Flint,All,Percy Weasley,Old Man,Student,Nearly Headless Nick,Skinny Kid,Mykew Gregorovitch,Oliver Wood,Fred Weasley,Poppy Pomfrey,Zacharias Smith,Guard,Gilderoy Lockhart,Elphias Doge,Boy,Helena Ravenclaw,Horace Horace Slughorn,Professors,Bane,Death Eater,Dean Thomas,Katie Bell,Rufus Scrimgeour,Cornelius Fudge,Shrunken Head,Molly Weasley,Rita Skeeter,Remus Lupin,Phineas,Luna Lovegood,Girl,Nigel Wolpert,Man,Marcus Belby,Ron Weasley,Narcissa Malfoy,Tom,George Weasley,Sorting Hat,Kreacher,Bellatrix Lestrange,Alecto Carrow,Hermione Granger,James Potter,Nymphadora Tonks,Lavander Brown,Firenze,Pansy Parkinson,Mary Cattermole,Moaning Myrtle,Garrick Ollivander,Bartemius Crouch Junior,Cedric Diggory,Students,Pomona Sprout,Rosmerta,Whomping Willow,Dolores Umbridge,Peter Pettigrew,Mr. Granger,Lavender Brown,Muriel,Draco Malfoy,Olympe Maxime,Goblin,Voldermort,Trolley Witch,Crowd,Bloody Baron,Cho Chang,Griselda Marchbanks,Howler,Voldemort,Announcer,Severus Snape,Argus Filch,Mrs. Granger,Lucius Malfoy,Vincent Crabbe,Magorian,Stanley Shunpike,Minerva Mcgonagall,Griphook,Gang Thug,Arabella Figg,Sirius Black,Justin Finch-Fletchley,Aragog,Alastor Moody,Patronus,Quirinus Quirrell,The Fat Lady,Michael Corner,Bill Weasley,Diary,Snake,Padma Patil,Ernest Macmillan,Tom Riddle,Walburga Black,Woman,Perkins,Other,Dilys Derwent,Vernon Dursley,Rubeus Hagrid,Parvati Patil,Waiter,Maid,Lily Potter,Wakanda,Photographer,Scabior,Bathilda Bagshot,Albus Dumbledore,Fleur Delacour,Kingsley Shacklebolt,Wizard,Amos Diggory,Collin Creevey,Everard,Fenrir Greyback,Rolanda Hooch,Viktor Krum,Aberforth Dumbledore,Harry Potter,Gellert Grindelwald,Voldemont,Dudley Dursley,Seamus Finnigan,Witch,Station Guard,Centaur,Mrs. Cole,Grawp,Blaise Zabini,Snatcher
Harry Potter and the Philosopher's Stone,,,,,✓,,,,,✓,,✓,,,,,✓,,,,✓,✓,✓,,,✓,,✓,,,,,✓,,,✓,✓,✓,,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,,,,✓,,,,,✓,,✓,,✓,,✓,✓,✓,,,,✓,,,,✓,,,,✓,,,✓,,,,,,,,,✓,,✓,,,✓,✓,,,,✓,,✓,✓,,,,,,✓,✓,,,,,,,,✓,✓,,,,✓,,,,,✓,,,,✓,✓,,,,,,,,,✓,,,,,,,,✓,,,✓,,,✓,✓,✓,,,,,,
Harry Potter and the Chamber of Secrets,✓,,,✓,,,,,✓,✓,,✓,,✓,,✓,,,,,,,✓,,,✓,,,,,,,✓,,,✓,✓,✓,,,✓,,,✓,✓,✓,,,✓,,,,,,,,✓,,,✓,,✓,,,,,,,,,✓,,,✓,✓,,,,✓,,,,,,,✓,,,,✓,✓,,✓,,,,,,✓,,,,,,,,,✓,,,✓,✓,,✓,✓,,,✓,,,,,✓,✓,,,,,,,✓,,,,✓,,,,✓,,✓,✓,,,,,,✓,,,✓,,,,,✓,,,,,,✓,,,✓,✓,✓,✓,,,,,
Harry Potter and the Prisoner of Azkaban,,,,,,,,,,✓,,✓,,✓,,,,,✓,,,,✓,✓,,,,✓,✓,,,,,,,,✓,✓,,,,,,,✓,,,,,,,,,,,,✓,,,✓,✓,✓,,✓,,,,,,,✓,,✓,✓,,,,,✓,,,,,✓,,,,,,✓,,✓,,,✓,,,,✓,,,,,,,,,,,,✓,✓,,,✓,,✓,✓,,,,✓,,,,,,✓,,,,,,,,,,,✓,,✓,✓,✓,,✓,,,,,,✓,,,,,,,,,,,✓,,,,✓,,,,,,,
Harry Potter and the Goblet of Fire,,✓,,,,,,,,,,✓,✓,✓,,,,,,,,,✓,,,,,✓,,,,,,,✓,,,,✓,✓,,,,,✓,,,,,,,,,,,,✓,,,✓,,,✓,,,,,✓,,,✓,,,✓,,,,,✓,✓,,,,,,✓,,✓,✓,,,,,,✓,,,,✓,✓,,✓,✓,,,✓,,,✓,✓,✓,,,✓,,,,✓,,,,✓,,,✓,,,,,,,,✓,,,,,,,,,✓,✓,,,✓,,,,,✓,✓,,,✓,,,,,✓,,✓,,,,✓,,,,,,,
Harry Potter and the Order of the Phoenix,,,,✓,,,,,,✓,,✓,,✓,,,,✓,,,,,✓,,✓,✓,,,✓,,,,,,,,,✓,,,✓,,,,✓,,✓,,,,,,,,✓,✓,✓,,,✓,,✓,,✓,✓,✓,,,,,✓,,,✓,,✓,✓,,✓,✓,✓,✓,,,,,,,,✓,,,,✓,,,,,✓,,,,,,,✓,✓,,✓,,✓,✓,,✓,,✓,,✓,,✓,✓,✓,✓,,✓,,,,✓,,,,,✓,,✓,,✓,,✓,✓,✓,,,,✓,,,,,✓,,✓,,,,✓,,✓,,,✓,,,✓,✓,✓,,✓,,✓,,
Harry Potter and the Half-Blood Prince,,,✓,,,✓,✓,,,,,✓,,✓,,,,,,,,,✓,,,,✓,✓,,,,✓,,,,,,,,,,✓,,,✓,,,,,,,,✓,,,,✓,✓,,,,✓,,✓,,✓,,,,✓,✓,✓,,✓,,,✓,,✓,,✓,,,✓,,,,,,✓,,,,,,,✓,,✓,,,,,,,,,,,,✓,✓,,,,,,✓,,,,,,,,,,,,,,,,,✓,,,,,,,✓,,✓,,,,,,,✓,,,,,,,✓,,,,✓,,,,✓,,,,✓,,✓,
Harry Potter and the Deathly Hallows – Part 1,,,,✓,,,✓,✓,,✓,✓,✓,,✓,,,,,,✓,,,✓,,,,,,,,✓,,,✓,,,,✓,,,,,✓,,✓,,,,,✓,,,,,,✓,,,✓,,,✓,,✓,,✓,,,✓,,✓,✓,,✓,,✓,✓,,✓,,✓,,,,✓,,✓,,,,,,,✓,✓,✓,,✓,✓,,,,,,,,,,✓,,✓,,✓,✓,,,,,✓,,,,,,✓,✓,,,,✓,,,,,,,✓,,,,✓,✓,,,,✓,✓,,✓,✓,,✓,✓,✓,,,,✓,,,,✓,✓,✓,✓,,✓,,,,,,✓
Harry Potter and the Deathly Hallows – Part 2,,,,,,,,,,✓,,✓,,✓,✓,✓,,,,✓,,,✓,,,,,✓,✓,✓,,,,✓,,,,,,✓,,,,✓,✓,,,,,,,✓,,✓,,✓,✓,,,,,✓,,✓,,✓,,✓,,,✓,✓,,,✓,,✓,✓,✓,✓,✓,,,,,,✓,,,,✓,,,,,,,,✓,,✓,,,,,✓,,,✓,,✓,✓,,✓,,,,,✓,,,✓,,,,,,,,✓,,,,,,,,,,,,,,,,✓,,,,,✓,✓,✓,,,,,,,,✓,✓,,,,✓,,,,,,,
